name,rating,review_count,category,address,phone,status,starting_point,distance,distance_unit,time_req,location_url
Natya Naivedya Nilayam,5.0,2,Dance school,"Panakkal Paramba, Kottamparamba PO, Thiruthikkav, opposite to Safa Hypermarket, Kozhikode, Kerala 673008",N/A,Closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",11.9,20 min,https://maps.app.goo.gl/QoeGzbaSgWoippZ7A
Saraswathi kalakshetra,N/A,N/A,Dance school,"CW9P+HM3, Thamarassery, Kerala 673573",N/A,N/A,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",12.7,25 min,https://maps.app.goo.gl/nXvZAmBvoqj3qqN46
Rabiya room,N/A,N/A,Ballroom dance instructor,"9V87+8CG, Narikkuni, Kerala 673585",N/A,N/A,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",13.6,24 min,https://maps.app.goo.gl/oZ1s72DvLwruA8qm6
Narthaki Dance Costums,4.2,6,Clothing store,"9V97+CJX, Poonoor - Narikkuni Rd, Narikkuni, Kerala 673585",083048 48319,Closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",13.7,24 min,https://maps.app.goo.gl/n8Wb4h5onoamnEDD7
99MOVES DANCE 'N' FITNESS,4.8,23,Dance company,"C MUHAMMED KOYAHAJI BULDING,ROOM NUMER,33/2163G,OPPLAW COLLAGE, Vellimadukunnu, Kozhikode, Kerala 673012",N/A,Closes soon,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",14.1,24 min,https://maps.app.goo.gl/F2BMgHJ3TCcNdXio6
Pianoforte music Dance and drawing academy,5.0,6,Music school,"Chevayoor, Kozhikode, Kerala 673017",090721 23450,Closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",14.8,25 min,https://maps.app.goo.gl/4XCEMzELUqn3ANYU7
Jyothirgamaya Academy for Diploma Course in Classical Dance.,N/A,N/A,Dance school,"Koodaranji, Kerala 673603",097471 42699,Temporarily closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",14.8,27 min,https://maps.app.goo.gl/P5WA11jrDGguyXyZ8
STUDIO90dance&fitness hub,4.8,24,Dance school,"Third Floor, RG ARCADE, Paroppadi, Kozhikode, Kerala 673012",090746 23006,Closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",15.1,25 min,https://maps.app.goo.gl/4AUj3viXuQybhLDj8
NADANAM SCHOOL OF DANCE AND MUSIC,5.0,13,Dance school,"NADANAM, opposite to ST. ANTONY'S FORANE CHURCH, Paroppadi, Kozhikode, Kerala 673009",097470 75522,Closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",15.2,26 min,https://maps.app.goo.gl/63tqLgMepfm7jtuu9
SRUTHI Musics and Dance,5.0,1,Music school,"Golf Link Rd, Chevayoor, Kozhikode, Kerala 673017",085478 39506,Closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",15.4,26 min,https://maps.app.goo.gl/Ka6NxUUM6tAfoJGx8
